,date,user,tweet,mentioned
198868,2009-06-11 22:11:49,jtothelo,RT @DaveDeRoo - Let's go @lakers @RealLamarOdom @derekfisher @SashaVujacic we need a victory!!! #GOLAKERS #LAKERS,"['davederoo', 'lakers', 'reallamarodom', 'derekfisher', 'sashavujacic']"
202735,2009-06-11 22:18:08,mrtramuel,Sorry! Fixed Link #Kobe #MVP #Lakers | ,[]
206931,2009-06-11 22:25:36,realasicanb,RT btw for those of you who DON'T KNOW! i despise the #Lakers lol.. but! -smh- you guys will prolly be walking away w/ a ring so... FML lol,[]
213665,2009-06-11 22:39:59,timmoore,"You need to get to the doctor, I think you have heat stroke! RT @TyDowning Nope...Magic ties series tonight. #NBA #NBAfinals #Lakers #Magic",['tydowning']
231598,2009-06-11 23:07:22,buzzedition,RT @Lotay: #NBA Franchise Rankings: Los Angeles #Lakers No. 1 (@ESPN) ,"['lotay', 'espn']"
232392,2009-06-11 23:08:26,nsethi,Tell the lakers how much you love them (or hate them).  #lakers,[]
240192,2009-06-11 23:18:21,jeffkowalczuk,RT@NBA_Lakers: Lakers-Magic: The Deciding Game of the NBA Finals  #lakers #nba,[]
256803,2009-06-11 23:45:49,mtmsports,2009 NBA Finals Dueling Logo's 24KT Gold Coin Lakers vs. Magic  #ilist #nba #lakers,[]
262421,2009-06-11 23:54:58,jdelorenzo,Added a Talk Smack feature to Magic Twackle!  #nba #magic #lakers #nbafinals,[]
272666,2009-06-12 00:04:00,remcorporation,Time 2 leave work... GO LAKERS! #golakers #lakers #peaceout #letsdothis,[]
276927,2009-06-12 00:07:27,alicejam,Lakers for Game 4. RT @OhBriBri: @alicejam lol...me too! The sacrifices we make for our team is crazy! Lol. Go #Lakers,"['ohbribri', 'alicejam']"
277657,2009-06-12 00:08:13,davidhoang,"Getting ready for the #Lakers game. This Kobe Bryan, ""The Last Samurai"" will be showing up! ",[]
292262,2009-06-12 00:23:18,peterbowen1963,Just added myself to the  twitter directory under: #lakers #raiders #angels,[]
294210,2009-06-12 00:25:12,thelakersnation,#lakers TLN Live: Lakers @ Magic [Game 4]: Join the TLN krew via chat and Twitter as they chat about Game.. ,['']
298158,2009-06-12 00:30:11,lamase,RT @MrMikeReal: @LAMase interesting stat for the #lakers haters: 1st 3 gms in #NBA Finals kobe has 100 points and 24 assists,"['mrmikereal', 'lamase']"
304519,2009-06-12 00:37:08,hlwdblvd,The Many Faces of Kobe Bryant (LATimes)  Try to name them all... LOL. #golakers #lakers #nba,[]
307514,2009-06-12 00:41:03,jtothelo,RT @Lakers - Twitter Game Day Chant: Let's Go @Lakers!!! @davederoo @b_real420 @lakergrrl @lakersnation @scottych #GOLAKERS #LAKERS,"['lakers', 'lakers!!!', 'davederoo', 'b_real420', 'lakergrrl', 'lakersnation', 'scottych']"
308135,2009-06-12 00:41:39,hlwdblvd,RT @CokieTheCat:The Lakers need more of this  &  & this  #nba #golakers #lakers,['cokiethecat:the']
312018,2009-06-12 00:45:37,nba_lakers,"Why Kobe's ""Weariness"" May Be Cause for Worry Beyond NBA Finals  #lakers #nba",[]
313128,2009-06-12 00:46:45,benkomanapalli,Yard work all done! Now time for #magic to DOMINATE the #lakers,[]
321164,2009-06-12 00:55:06,kingj2005,RT @SexyLiah: RT @kingj2005: Let's Go #Lakers Let's Go!!!!== @sexyliah has spoken baby. Let's go Lakers!!!,"['sexyliah', 'kingj2005', 'sexyliah']"
321270,2009-06-12 00:55:17,jpschust,@moose2911 you think this is the magic the magic need vs the lakers? ps-go lakers@ #lakers,['moose2911']
322760,2009-06-12 00:56:47,nikki0j3,cute anthem (and story). yall kno what time it is. let's go LAKERS!!! #lakers,[]
324534,2009-06-12 00:58:21,rickymar, - YEAH #LAKERS! I'M AT LA LIVE! GO LAKERS!,[]
326005,2009-06-12 01:00:44,dannysmyhero,"Yeah the Laker game is on,I'm really excited.I hope the @Lakers beat the Magic.Let's Go Lakers.Good Luck.God Bless #Lakers",['lakers']
326087,2009-06-12 01:00:47,stellacotton,Come on Orlando beat those Lakers!!! #orlando #lakers,[]
330314,2009-06-12 01:04:39,danieldanger,RT @dee_marie01: #Lakers you better bring your A game 2night!!!!,['dee_marie01']
330370,2009-06-12 01:04:45,astuterecorder,RT @billplaschke. Game 3 and is it Groundhog day? I hope not! Go Lakers. #kobe. #Lakers,['billplaschke']
330487,2009-06-12 01:04:56,krazyivan909,"just asks that the #Lakers play some semblance of defense. Lock them down or something, pretty please. Here we go, it's gametime! #fb",[]
336521,2009-06-12 01:11:16,mstoshay,RT @hartovdaciti: RT @Jaicenia: @hartovdaciti #LakersGame4 #LakersGame4 #LakersGame4 #LakersGame4,"['hartovdaciti', 'jaicenia', 'hartovdaciti']"
337012,2009-06-12 01:11:33,lakeshowonline,#lakers Lakers looking to get ball inside to Pau Gasol: Jackson says the goal all along has been to try t.. ,[]
337100,2009-06-12 01:11:43,jenajean,RT @NCAAfootballman @OS_BiancaPrieto: Is it true that Hulk Hogan is at the game tonight? #magic #lakers #beatla,"['ncaafootballman', 'os_biancaprieto']"
340146,2009-06-12 01:14:18,delilahradio,Just added myself to the  twitter directory under: #sex #metal #Lakers,[]
344908,2009-06-12 01:18:58,lsmith77,#bbq #fathersday #grill #cooking #recipes  Go #Lakers !,[]
345816,2009-06-12 01:19:34,doktorbuzzo,"Goddammit, Kobe, get the ball to Gasol! #Lakers #NBA",[]
345850,2009-06-12 01:19:37,astuterecorder,It's like Fish tried to miss. #NBA Finals. #Lakers. #Kobe.,[]
346800,2009-06-12 01:20:30,kevangammage79,Does anyone else think that SVG is finally figuring out that the #Lakers are a terrible defensive team?,[]
351015,2009-06-12 01:25:01,dennisfa,RT @LATimessports: Need to red cape to squeeze into the press row. Game (almost) on. #LAKERS,['latimessports']
354757,2009-06-12 01:29:10,ohbribri,"Go #Lakers RT @alicejam: hello sports fans, friends, followers, and Lakers haters #heykim @OhBriBri @shaerone @sinbadbad","['alicejam', 'ohbribri', 'shaerone', 'sinbadbad']"
357251,2009-06-12 01:31:57,shannyboy,Ariza gets a technical for THAT?! #Lakers #NBA,[]
359678,2009-06-12 01:34:08,lakers_news,LA Times - #Lakers Lakers looking to get ball inside to Pau Gasol: Jackson says the goal all a.. ,[]
360778,2009-06-12 01:35:46,moloko_vellocet,Howard must be out of the game bad call magic game #Lakers #NBA #Kobe,[]
362177,2009-06-12 01:37:07,geomorales,Magic need to take advantage with this #Lakers line up on the floor #Magic,[]
364744,2009-06-12 01:39:26,dustinpitcher,"Wow, #Lakers getting in a lot of foul trouble early... Now headed to CSUB for my girl's Credential Candidate Reception... Congrats babe!!",[]
365906,2009-06-12 01:40:26,ohbribri,D.Howard is soo ugly 2 me. Looks like he JUST evolved from a monkey about 9 days ago...lol Go #Lakers !!!!,[]
367276,2009-06-12 01:42:01,nba_lakers,NBA Lakers : LA Lakers 17 Orlando 22 (1:22 IN 1ST)  #lakers #nba,[]
367380,2009-06-12 01:42:14,h2ocena,"Once again if Lakers lose, it us all by design. They have to drop game 4 or 5 to win at home in 6. #Lakers",[]
368965,2009-06-12 01:44:26,mikeini,Hate to say it but Kobe is the only one who showed up. Let him run wild....give him the ball everytime till they stop him. #nba #lakers,[]
373931,2009-06-12 01:49:18,anthony_carter,RT Really? @brentonwalker: Phil Jackson one of the best coaches ever? Not even in the top 50! He never says anything smart. #lakers #finals,['brentonwalker']
376963,2009-06-12 01:52:26,bmitchdotorg,ill be super bummed if the #magic lose to the #lakers.,[]
383574,2009-06-12 01:58:57,douchelarue,two things you don't want to hear as a #magic fan 1) howard starts to dribble 2) reddick open again #lakers #nba,[]
385315,2009-06-12 02:00:35,mish2mish,man these ref's. they tried this with the denver series and it's NOT going to work! #Lakers,[]
386771,2009-06-12 02:02:01,g_twitty,RT @HlwdBlvd: Seriously. You folks are giving up now on an 8 point game in the second? My bet stands. Lakers by 7. #lakers #golakers #nba,['hlwdblvd']
386993,2009-06-12 02:02:20,kromegmm,Full house in da studio !!! Watching da game #LAKERSFANS: it's not lookin to good I swear..n I got money up,[]
389867,2009-06-12 02:05:05,alicejam,RT @OhBriBri: Hmmm...3 fouls for all of our starting big men??? I don't know about that 1. Let's Go #Lakers!!!!!,['ohbribri']
390534,2009-06-12 02:05:39,andreallen,"RT @JeremyGraddy :: Phil jackson, ""stop the ball, stop the ball! It's all penetration!"" (That's what she said.) #Lakers #NBA #Orlando",['jeremygraddy']
391140,2009-06-12 02:06:15,gpwriter,lakers down by 12....their series....lead is quickly fading... now...even phil jackson is losing his cool #lakers#nba#nbafinals,[]
398156,2009-06-12 02:13:32,moloko_vellocet,Dwight 1 move 1 foul Howard #Lakers #NBA #Kobe,[]
399979,2009-06-12 02:15:27,healthyh2oh,Lakers had all but one starter in for a good 8 minutes. Let's not freak out people. #lakers,[]
402178,2009-06-12 02:17:38,jenajean,"RT @orlandosports If the hook is on, IT'S ON ... #Magic rolling now, and it could get ugly. Kobe, just ask LeBron #Lakers #beatla",['orlandosports']
403254,2009-06-12 02:18:43,williamskim,RT @Lotay: Lakers or Magic? ME: gotta go #Lakers.,['lotay']
403255,2009-06-12 02:18:43,williamskim,RT @Lotay: Lakers or Magic? ME: gotta go #Lakers.,['lotay']
403997,2009-06-12 02:19:11,celebtv,Rihanna spotted at the #Lakers vs. #Magic game... no sign of Chris Brown yet. Is she rooting for ex-flame Andrew Bynum?,[]
404863,2009-06-12 02:19:53,nba_lakers,NBA Lakers : LA Lakers 37 Orlando 49 (0:38 IN 2ND)  #lakers #nba,[]
404952,2009-06-12 02:19:55,magic_radio,"@DwightHoward 14 rebs, Lakers 14 rebs...almost halftime #kobe #magic #lakers #beatla #magictwackle",['dwighthoward']
405433,2009-06-12 02:20:07,mieetwilight,What's going on #lakers? Let's go! Pick it up!! ,[]
405932,2009-06-12 02:20:38,ampalm,"Yeah. RT @twstephens So all you media folks who called this series over after one game, howya feeling now? #NBA #Lakers #Magic",['twstephens']
405933,2009-06-12 02:20:38,ampalm,"Yeah. RT @twstephens So all you media folks who called this series over after one game, howya feeling now? #NBA #Lakers #Magic",['twstephens']
406972,2009-06-12 02:21:35,ryangeiger,Could we play any worse tonight? Do the #Lakers realize this is for an NBA championship? Come on now!,[]
408488,2009-06-12 02:23:41,ashlyncarter,@treszionIII shoot the way the #Lakers are playing they will,['treszioniii']
410952,2009-06-12 02:25:57,h2ocena,"RT @smeeguel: If eight #Lakers foul out we have a forfeit, right? We get it, refs. Now let them play. #Magic I agree it's the championship!!",['smeeguel']
412065,2009-06-12 02:27:05,twstephens,Halftime at Amway ... @DwightHoward has 14 rebounds. #Lakers have 14 rebounds.,['dwighthoward']
413502,2009-06-12 02:28:37,lamase," Stan Van Gundy before Gm 4: #NBA age limit rule a ""shame"" & ""NCAA worst organization going."" #Magic #Lakers",[]
415210,2009-06-12 02:30:39,expresyourself,RT @CrazedMMAFan Son of a fucking bitch!!fucking #Lakers need to step it up in the 2nd half You Know!!,['crazedmmafan']
415639,2009-06-12 02:31:03,jasoncollette,Dayum! RT: @twstephens: Halftime at Amway ... @DwightHoward has 14 rebounds. #Lakers have 14 rebounds.,"['twstephens', 'dwighthoward']"
416262,2009-06-12 02:32:14,valdezign,"RT @kaj33: If they can't get moving it'll be a long night. <-I agree, Cap. #Lakers #Magic",['kaj33']
417449,2009-06-12 02:33:15,bagoin,Damn #lakers are still in bed. Get some rebounds please!,[]
421397,2009-06-12 02:37:51,exposeliberals,"The #nba is so damn rigged, its beyond pathetic. All of a sudden Howard gets the Lebronze treatment. #Lakers",[]
422357,2009-06-12 02:39:17,eyeonorlando,"RT @twstephens We've got #NBA halftime report, with stats and 2nd-half keys for #Magic and #Lakers, up here: ",['twstephens']
426567,2009-06-12 02:43:18,kobe888,RT: @LATimessports: Now Kobe knows how LeBron feels. They're both playing with a bunch of puppets. #LAKERS,['latimessports']
428207,2009-06-12 02:45:01,techbabe,LET'S GO BOYS!!! #lakers,[]
428782,2009-06-12 02:45:32,mablevada,LET'S GO BOYS!!! #lakers awesome! ,[]
428863,2009-06-12 02:45:35,gpwriter,howard beats....bynum...easy bucket...no D... why aren't they competing....#lakers#nba#nbafinals,[]
433231,2009-06-12 02:50:32,nichsteffan,#Kobe and #Lakers making their run. SVG does not like the defense from #Magic. ,[]
433930,2009-06-12 02:51:55,liveguy,Ariza keepin 'em in it. ORL taking a break. They need to wake up and stop cadillac'n... #magic #lakers,[]
434775,2009-06-12 02:52:44,dsp_lakers,Talk about the game live RIGHT NOW with other Lakers fans at  #Lakers #Magic #NBAFinals,[]
436866,2009-06-12 02:54:34,lifeinthegalaxy,RT @Lotay: @ericsvonk oh yeah!! It should be a fun #Lakers / #Magic game tonight!,"['lotay', 'ericsvonk']"
438808,2009-06-12 02:56:37,ellis_n_thomas,RT: @OhBriBriTrevor for 3!!!!!!! Go #Lakers!!!!!!,['ohbribritrevor']
441346,2009-06-12 02:59:43,london_pantry,RT @DarrellIssa: Where Will Bailouts Happen This Year?  #lakers #nba #kobe #magic,['darrellissa']
441475,2009-06-12 02:59:53,jennpowers,Woo! Nailbiter! (dont worry...i wont spoil the end of the game) #Lakersmustwin!,[]
442502,2009-06-12 03:00:39,jonfogg,#Lakers rally to take 57-56 lead with 5:06 left in third #nba #magic,[]
442948,2009-06-12 03:01:12,ohbribri,"Lol...I smell a lead! Go #Lakers RT @alicejam: @mylikadenee Are you sure about that, in case you missed it 1 point game @OhBriBrI","['alicejam', 'mylikadenee', 'ohbribri']"
445304,2009-06-12 03:03:29,ohbribri,U were talkin like it was .4 left n the fourth?!? Go #Lakers!!! RT @mylikadenee: @ohbribri it aint over til the clock says so!!!,"['mylikadenee', 'ohbribri']"
452952,2009-06-12 03:10:49,hibippytea,RT @daNanner: Yes!! #lakers,['dananner']
454138,2009-06-12 03:11:53,moloko_vellocet,Pass the ball to gasol #Lakers #NBA #Kobe,[]
454256,2009-06-12 03:12:09,bizzle_hd,"Both Sides have been chirping about Refs, it's annoying. Shut Up and Play... (or Watch) #lakers #magic",[]
454661,2009-06-12 03:12:49,ahmedkayad,RT @orlandosports: things are getting kinda ugly #Lakers #Magic,['orlandosports']
455487,2009-06-12 03:13:30,joshuatru,RT @joshinthe818: RT @marcpayan: watching nba finals game 4: #Lakers vs. Refs,"['joshinthe818', 'marcpayan']"
455489,2009-06-12 03:13:30,one9,"Its called Hollywood Magic RT @supapimp: #lakers outscore the #magic 30 - 14 in the 3rd Q, 67-63. #nba finals",['supapimp']
456686,2009-06-12 03:14:50,joshinthe818,RT @BillPlaschke: Roaring crowd now quiet. #Lakers end quarter leading by 4 but it feels like 40. Ariza the man,['billplaschke']
458322,2009-06-12 03:16:38,astuterecorder,Nice to see a shot of #Ariza with trophy. He is certainly helping the #Lakers earn it.,[]
458366,2009-06-12 03:16:42,dankuehn,gasol with a purvis short rainbow shot from the heavens #lakers,[]
458480,2009-06-12 03:16:54,pin_pon_papas,#lakers playing better since i put sevens and started twitterring! Go #lakers! go #kobe DEFENSE! ,[]
458602,2009-06-12 03:17:00,charlestlee,RT @marcpayan: watching nba finals game 4: #Lakers vs. Refs,['marcpayan']
460467,2009-06-12 03:18:51,_vnl,"How does he do that with the ""L""? LET'S GO #LAKERS! RT @NickyDiamonds:└A We the BEST! #NBA",['nickydiamonds:└a']
463514,2009-06-12 03:22:01,jeromeshaw,RT @AspenTwit #Lakers 71 #Magic 67 --9 minutes left in 4th #NBA #NBAFinals Howard picks up 4th personal fouls,['aspentwit']
463749,2009-06-12 03:22:32,kevinmccarthy21,Odom looked like he was about to take the ball and go home #lakers #magic,[]
464402,2009-06-12 03:23:03,nbamusings,"RT @jcamerato: Doc Rivers laughs off #Celtics trades, talks KG, #NBA Finals on PTI  #MagicTwackle #Lakers",['jcamerato']
464990,2009-06-12 03:23:34,northstation,"RT @jcamerato: Doc Rivers laughs off #Celtics trades, talks KG, #NBA Finals on PTI  #MagicTwackle #Lakers",['jcamerato']
464991,2009-06-12 03:23:34,northstation,"RT @jcamerato: Doc Rivers laughs off #Celtics trades, talks KG, #NBA Finals on PTI  #MagicTwackle #Lakers",['jcamerato']
468278,2009-06-12 03:26:19,themontyshow,Did I not see what I saw in the first half? #NBA #Lakers #Magic,[]
468317,2009-06-12 03:26:22,brownillusion,@KINGDINGALING_1 THE #LAKERS,['kingdingaling_1']
468712,2009-06-12 03:26:51,payamfr,Did Kobe just make that shot?? #lakers,[]
470916,2009-06-12 03:29:42,payamfr,ariza back in #lakers,[]
470938,2009-06-12 03:29:44,hlwdblvd,LOL RT @TechBabe: told my programmers if the #lakers win they can leave when I leave. Never seen so many Indians going bananas over b-ball.,['techbabe']
470943,2009-06-12 03:29:44,tkgore,@paulsen_smw how 'bout Destiny's Child performing at '01 #NBA Finals Game 3 #Lakers at Philly; crowd booed loudly w/ performers in LAL gear,['paulsen_smw']
471160,2009-06-12 03:29:55,dasreboot,"Next time wear astronaut diapers :P j/k RT @davidhoang Gotta pee, but don't want to..because..#Lakers are playing so well..Sorry...",['davidhoang']
473381,2009-06-12 03:32:12,bizzle_hd,Loving the 4th Quarter... #lakers #magic,[]
474084,2009-06-12 03:33:00,dmadey,"RT @renemonney: I don't like basketball, but Kobe still looks hungry #feedkobe #Lakers",['renemonney']
480479,2009-06-12 03:40:21,jbot6000,Again! RT @Jbot6000: ARE YOU KIDDING ME #lakers,['jbot6000']
480818,2009-06-12 03:40:31,mtmsports,Lakers 2009 NBA Western Conference Champions 24KT Gold Coin Photo Mint  #ilist #nba #lakers,[]
481795,2009-06-12 03:41:44,one9,RT @TechBabe: FUCK!!!! #lakers,['techbabe']
483663,2009-06-12 03:43:33,blacktigra93,RT @Magic_Radio: Dwight ties NBA Finals record w/8 blocks in one game...#magic #beatla #magictwackle #lakers,['magic_radio']
483757,2009-06-12 03:43:41,rhdubs,RT @kaj33It seems that Magic can't foul! #Lakers,['kaj33it']
485429,2009-06-12 03:45:30,mtmsports,Lakers Lamar Odom Photo Mint W/ Two 24KT Gold Coins  #ilist #nba #lakers,[]
485642,2009-06-12 03:45:37,mssoon2befamous,"#Lakers BABY ALL THE WAY, I DONT CARE WHAT HATERS GOTTA SAY!~",[]
485661,2009-06-12 03:45:38,cmsb,Hedo just stuck his tongue out. Somewhere a groupie threw and starting crying because of a flashback. #magic #lakers,[]
486136,2009-06-12 03:46:04,ohbribri,Ditto! : / Go #Lakers!!! RT @20_Twenty: @OhBriBri Im about to be very upset with the Lakers if they dont get it together.,"['20_twenty', 'ohbribri']"
487196,2009-06-12 03:47:03,passport914,LA#LAKERS...still have the best closer in basketball,[]
489003,2009-06-12 03:48:47,n1s20y,@Gotjuicygirl i found it quick lol .. watch the #lakers #magic game @ ,"['gotjuicygirl', '']"
493837,2009-06-12 03:53:41,taddgrandstaff,and Derek Fisher shows up to the game!! Amazing!! Suddenly their is life for the #lakers! I'll take it though!! :),[]
493883,2009-06-12 03:53:43,jonathanjoseph,"Apparently, pretty good. Rt @jonathanjoseph What are the chances Kobe DOESN'T take this shot? #nbaplayoffs #magic #lakers",['jonathanjoseph']
494163,2009-06-12 03:53:52,shraddha714,Awesome! Way to go fisher! Go #lakers!,[]
494588,2009-06-12 03:54:16,btao,I live for stuff like that. Fisher! #lakers,[]
494806,2009-06-12 03:54:31,meg_han_solo,@Diabeticizme mmmmm. It's okay. I'll still talk to you. Hahaha There are three things my dad instilled in me. Angels. Greenbay. #lakers :),['diabeticizme']
496586,2009-06-12 03:56:20,mattepper,Put in patrick chewing. That dude can throw it down. #NBA #lakers #magic,[]
497344,2009-06-12 03:57:00,soleynm,WE'RE GOING TO #OVERTIME! #Lakers #Magic,[]
497511,2009-06-12 03:57:13,ohbribri,OT baby!!!! Go #Lakers!!!!,[]
497621,2009-06-12 03:57:21,pam1000,#lakers Overtime!!,[]
498290,2009-06-12 03:57:42,ryangeiger,"#Lakers That is what I am talking about...I am loving this! Maybe we can get a call in overtime, huh?",[]
498889,2009-06-12 03:58:21,rjmancuso,how about that! lets go #lakers,[]
499021,2009-06-12 03:58:35,taryder,Yaaaa fischer!!!! Here we go #lakers,[]
499583,2009-06-12 03:58:55,kencarpenter,"... Sorry, but the #Magic deserves to lose this game now. How do you allow a guy to shoot a 3-pointer? #incomprehensible #moronic #Lakers",[]
499736,2009-06-12 03:59:01,davidbgiven,@xCluZivE04 ha...I love the lakers. Just trying to inspire them! Let's go #Lakers! Overtime baby!,['xcluzive04']
500168,2009-06-12 03:59:17,capslocknews,"LET""S GO LAKERS!!!!!!!!!! KEEP IT ROLLING !!!!!!!! #LAKERS",[]
500205,2009-06-12 03:59:24,ryanlee82,#lakers yes yes yes!!!!!,[]
504410,2009-06-12 04:05:51,campants,"my goodness - EVERYONE at #sfo is watching the #lakers #magic game. I mean, EVERYONE.",[]
506461,2009-06-12 04:07:34,sforsyth01,Freethrows are killing the #Magic tonight. Go #Lakers #nba #thefinals #nbafinals #squarespace,[]
506729,2009-06-12 04:07:42,kimkissme,can the lakers overcome this officiating?? #Lakers #Kobe ,[]
506828,2009-06-12 04:07:45,elicota,Jesus... wtf its 5 on 8. #lakers,[]
507665,2009-06-12 04:08:22,ashubert,These refs should be sent down to officiate Olympic curling or badmitton. #lakers,[]
507688,2009-06-12 04:08:25,bradpirman,@Lakers - Anyone think we'll see a second OT? #Lakers,['lakers']
508115,2009-06-12 04:08:59,ohbribri,Let's Go #Lakers!! These f*cking inhuman barnacles for refs are doing everything to take it. They might let you get stabbed nxt play hard!,[]
508708,2009-06-12 04:09:22,payamfr,still no freethrows in 4th and ot. pretty sad #lakers,[]
508903,2009-06-12 04:09:42,nikki0j3,FISHER!!!!!!!!!!!!!!!!! #lakers,[]
509035,2009-06-12 04:09:54,libbunnie,RT: @libbunnie @derekfisher you animal!!!... #lakers,"['libbunnie', 'derekfisher']"
509052,2009-06-12 04:09:55,rhdubs,Derek Fisher! Have my babies!! #Lakers,[]
509070,2009-06-12 04:09:57,anivus,Derek Fisher is sicker then Swine Flu !!!!!!! #Lakers #fb,[]
509208,2009-06-12 04:10:06,kristalm,I love that FISHER smile. &lt;3 #lakers,[]
509224,2009-06-12 04:10:07,samurphis,5 on 8 and they still take the lead! #Lakers,[]
509644,2009-06-12 04:10:38,clemsonpodcasts,Derek Swisher...I mean Fisher. #NBA #FInals #Lakers,[]
509858,2009-06-12 04:10:44,ohbribri,That's the smile I like @DerekFisher!! On your game!!! Just completely wicked w/ the 3's! Go #Lakers!!!,['derekfisher!!']
510610,2009-06-12 04:11:23,soulone,RT: @PnmaB Classic Game #lakers #magic,['pnmab']
510673,2009-06-12 04:11:27,thecbb,No offensive foul on Kobe on that play?? RT @TheoRabinowitz: Derek Fisher....Onions....DOUBLE ORDER!!!! #lakers #magic,['theorabinowitz']
510854,2009-06-12 04:11:36,whu,And i dare say again @whu RT: The spirit of Robert Horry lives!. .in Fish. #Lakers #Magic Go Lakers!,['whu']
511638,2009-06-12 04:12:26,torie007,RT @daNanner: I think I love fisher tonight! #lakers (me too!),['dananner']
511712,2009-06-12 04:12:31,joshinthe818,RT @marcpayan: like that smile Fisher!! NBA Final #Lakers,['marcpayan']
512085,2009-06-12 04:12:43,goverjkg,Word. Does anybody even care anymore?!? RT: @mikebarnes5 THE NBA IS UNWATCHABLE!!! IT'S NOT EVEN BASKETBALL... #nba #lakers #magic,['mikebarnes5']
512192,2009-06-12 04:12:46,thegza10304,GASOL BABY #lakers,[]
512561,2009-06-12 04:13:03,poohbear21491,Derek Fisher does it again he commits i love a man that commits Go Lakers #lakers,[]
512951,2009-06-12 04:13:27,baere,"Apitão amigo, e o #Lakers fatura na prorrogação. #Orlando é mole, quero ver bater de frente com Baby, Duda, Marcelinho e cia.",[]
513168,2009-06-12 04:14:05,katiecompa,"Oh my god, Dwight Howard, you and your foul shots let this happen. #lakers",[]
513237,2009-06-12 04:14:09,taddgrandstaff,This series is officially OVER! The #Magic had this one in the bag. They couldn't finish it & I believe the #lakers will now end this in 5!,[]
513872,2009-06-12 04:14:30,marcpayan,RT @Joe_Aguilar: GASSOOOOOOOLLLLLL WITH THE DUNK! // I'm digging this NBA Finals Twitter watch party #Lakers,['joe_aguilar']
514399,2009-06-12 04:15:03,poohbear21491,O SNAP PAU GETTIN CRUNK LMAO #lakers we won this thang.....,[]
514703,2009-06-12 04:15:32,rhdubs,that should be a flagrant foul #lakers,[]
515588,2009-06-12 04:16:18,trymykungfu,The Fish saves LA. That is all. #NBA #Lakers,[]
516354,2009-06-12 04:17:15,meos,"Wow, Fish again with three! We've seen this story before... #Lakers # Finals RT@TKGore Fisher! Lakers lead 3 to 1!",[]
516860,2009-06-12 04:17:43,benkomanapalli,RT @ScottWilliams: Gasol could play in a horror movie! #Lakers #Magic // I think he looks like a chicken!,['scottwilliams']
518494,2009-06-12 04:19:25,crash921,RT @BrianJonesCali Only babies and fools believe in Magic. Lakeshow!!! #Lakers,['brianjonescali']
519612,2009-06-12 04:20:16,_kbm,and #conan RT @gagnier one good thing going for california right now: the lakers #california #lakers,['gagnier']
520274,2009-06-12 04:21:01,davidhoang,Um...I wanna go get talaga laseng right now!!! One more win for Kobe's 4th championship. Game 6 is NOT necessary! #LAKERS,[]
520675,2009-06-12 04:21:37,streetwisepro,@DerekFisher nails the 3 pointer at a crucial time to send it into overtime. Gasol Slams home the victory on the steal! #Lakers up 3 to 1!!,['derekfisher']
